ticker,ano,lucro_liquido
02.474.103/0001-19,2018,2315407.0
02.474.103/0001-19,2019,2311099.0
02.474.103/0001-19,2020,2797268.0
02.474.103/0001-19,2021,1564970.0
02.474.103/0001-19,2022,2664568.0
02.474.103/0001-19,2023,3429060.0
02.474.103/0001-19,2024,4302841.0
02.476.710/0001-18,2010,-196.0
02.476.710/0001-18,2011,-267.0
02.476.710/0001-18,2012,-107.0
02.476.710/0001-18,2013,-162.0
02.476.710/0001-18,2014,-229.0
02.476.710/0001-18,2015,-7807.0
02.476.710/0001-18,2016,-1300.0
02.502.844/0001-66,2010,85963.0
02.502.844/0001-66,2011,101591.0
02.502.844/0001-66,2012,151091.0
02.535.295/0001-26,2010,-6018.0
02.535.295/0001-26,2011,-5304.0
02.535.295/0001-26,2012,-5303.0
02.535.295/0001-26,2013,-9813.0
02.536.066/0001-26,2023,383900.0
02.536.066/0001-26,2023,383900.0
02.536.066/0001-26,2024,295649.0
02.541.982/0001-54,2010,14417.0
02.541.982/0001-54,2011,47702.0
02.541.982/0001-54,2012,98123.0
02.541.982/0001-54,2013,78885.0
02.541.982/0001-54,2014,58678.0
02.541.982/0001-54,2015,-604133.0
02.541.982/0001-54,2016,-74487.0
02.541.982/0001-54,2017,11897.0
02.541.982/0001-54,2018,-398434.0
02.558.074/0001-73,2010,1893833.0
02.558.115/0001-21,2010,2211715.0
02.558.115/0001-21,2011,1281228.0
02.558.115/0001-21,2012,1448888.0
02.558.115/0001-21,2013,1505614.0
02.558.115/0001-21,2014,1546419.0
02.558.115/0001-21,2015,2071145.0
02.558.115/0001-21,2016,750427.0
02.558.115/0001-21,2017,1234507.0
02.558.115/0001-21,2018,2545101.0
02.558.115/0001-21,2019,3622127.0
02.558.124/0001-12,2010,765035.0
02.558.124/0001-12,2011,413375.0
02.558.124/0001-12,2012,795846.0
02.558.124/0001-12,2013,425579.0
02.558.134/0001-58,2010,1749496.0
02.558.154/0001-29,2010,1827281.0
02.558.154/0001-29,2011,1895462.0
02.558.157/0001-62,2010,2398836.0
02.558.157/0001-62,2011,4362199.0
02.558.157/0001-62,2012,4452181.0
02.558.157/0001-62,2013,3715945.0
02.558.157/0001-62,2014,4936659.0
02.558.157/0001-62,2015,3420249.0
02.558.157/0001-62,2016,4085242.0
02.558.157/0001-62,2017,4608790.0
02.558.157/0001-62,2018,8928258.0
02.558.157/0001-62,2019,5001014.0
02.558.157/0001-62,2020,4770527.0
02.558.157/0001-62,2021,6229357.0
02.558.157/0001-62,2022,4057902.0
02.558.157/0001-62,2023,5039977.0
02.558.157/0001-62,2024,5557332.0
02.560.878/0001-07,2022,-51106.0
02.560.878/0001-07,2023,-75431.0
02.560.878/0001-07,2024,-87206.0
02.591.787/0001-39,2010,-409841.0
02.591.787/0001-39,2011,-486148.0
02.591.787/0001-39,2012,-425164.0
02.591.787/0001-39,2013,-472169.0
02.591.787/0001-39,2014,-517573.0
02.591.787/0001-39,2015,-559900.0
02.591.787/0001-39,2016,-628897.0
02.600.854/0001-34,2021,2891986.0
02.600.854/0001-34,2022,1585623.0
02.600.854/0001-34,2023,2420977.0
02.600.854/0001-34,2024,2399428.0
02.604.860/0001-60,2010,-262143.0
02.604.860/0001-60,2011,-318431.0
02.604.860/0001-60,2012,-276219.0
02.604.860/0001-60,2013,-312571.0
02.604.860/0001-60,2014,-341853.0
02.604.860/0001-60,2015,-368899.0
02.604.860/0001-60,2016,-420636.0
02.604.860/0001-60,2017,-482823.0
02.604.997/0001-14,2010,1730.0
02.604.997/0001-14,2011,1672.0
02.635.522/0001-95,2020,76524.0
02.635.522/0001-95,2021,170449.0
02.635.522/0001-95,2022,387907.0
02.635.522/0001-95,2023,692329.0
02.635.522/0001-95,2024,85118.0
02.635.522/0001-95,2025,-55950.0
02.762.113/0001-50,2010,117020.0
02.762.113/0001-50,2011,74630.0
02.762.113/0001-50,2012,-16311.0
02.762.113/0001-50,2013,27108.0
02.762.113/0001-50,2014,-10.0
02.762.113/0001-50,2015,10057.0
02.762.113/0001-50,2021,12287.0
02.762.113/0001-50,2022,15748.0
02.762.113/0001-50,2023,15935.0
02.762.115/0001-49,2010,39684.0
02.762.115/0001-49,2011,-2153.0
02.762.115/0001-49,2012,-795703.0
02.762.115/0001-49,2013,-2068481.0
02.762.115/0001-49,2014,-2223688.0
02.762.115/0001-49,2015,96071.0
02.762.115/0001-49,2016,412821.0
02.762.115/0001-49,2017,-27799.0
02.762.115/0001-49,2018,-111581.0
02.762.115/0001-49,2019,-120695.0
02.762.115/0001-49,2020,-81048.0
02.762.121/0001-04,2010,111229.0
02.762.121/0001-04,2011,246336.0
02.762.121/0001-04,2012,270212.0
02.762.121/0001-04,2013,255060.0
02.762.121/0001-04,2014,91559.0
02.762.121/0001-04,2015,-18129.0
02.762.121/0001-04,2016,-19910.0
02.762.121/0001-04,2017,-5321.0
02.762.121/0001-04,2018,2979.0
02.762.121/0001-04,2019,15375.0
02.762.121/0001-04,2020,-13761.0
02.762.121/0001-04,2021,271732.0
02.762.121/0001-04,2022,429450.0
02.762.121/0001-04,2023,504304.0
02.762.121/0001-04,2024,741966.0
02.800.026/0001-40,2010,-29623.0
02.800.026/0001-40,2011,37375.0
02.800.026/0001-40,2012,202044.0
02.800.026/0001-40,2013,516571.0
02.800.026/0001-40,2014,1000600.0
02.800.026/0001-40,2015,1396134.0
02.800.026/0001-40,2016,1864635.0
02.800.026/0001-40,2017,1882316.0
02.800.026/0001-40,2018,1392856.0
02.800.026/0001-40,2019,242588.0
02.800.026/0001-40,2020,-5805798.0
02.800.026/0001-40,2021,-512985.0
02.800.026/0001-40,2022,-540998.0
02.800.026/0001-40,2023,-511353.0
02.800.026/0001-40,2024,991631.0
02.808.708/0001-07,2010,7619243.0
02.808.708/0001-07,2011,8719764.0
02.808.708/0001-07,2012,10642555.0
02.846.056/0001-97,2010,677508.0
02.846.056/0001-97,2011,910769.0
02.846.056/0001-97,2012,1192373.0
02.846.056/0001-97,2013,1367884.0
02.846.056/0001-97,2014,1349693.0
02.846.056/0001-97,2015,786871.0
02.846.056/0001-97,2016,1637447.0
02.846.056/0001-97,2017,1782918.0
02.846.056/0001-97,2018,636182.0
02.846.056/0001-97,2019,1426452.0
02.846.056/0001-97,2020,86113.0
02.846.056/0001-97,2021,805596.0
02.846.056/0001-97,2022,4212180.0
02.846.056/0001-97,2023,1854501.0
02.846.056/0001-97,2024,1311615.0
02.860.694/0001-62,2010,40263.0
02.860.694/0001-62,2011,61071.0
02.860.694/0001-62,2012,-3957.0
02.860.694/0001-62,2013,-14720.0
02.860.694/0001-62,2014,-70321.0
02.860.694/0001-62,2015,20888.0
02.860.694/0001-62,2016,26025.0
02.860.694/0001-62,2017,45266.0
02.860.694/0001-62,2018,10623.0
02.860.694/0001-62,2019,-71779.0
02.860.694/0001-62,2020,-109420.0
02.860.694/0001-62,2021,-64548.0
02.860.694/0001-62,2022,-8431.0
02.860.694/0001-62,2023,58198.0
02.860.694/0001-62,2024,-68241.0
02.871.007/0001-04,2010,2603240.0
02.871.007/0001-04,2011,3599157.0
02.871.007/0001-04,2012,-482399.0
02.916.265/0001-60,2010,-264000.0
02.916.265/0001-60,2011,-322885.0
02.916.265/0001-60,2012,762890.0
02.916.265/0001-60,2013,1118325.0
02.916.265/0001-60,2014,2406427.0
02.916.265/0001-60,2015,5128647.0
02.916.265/0001-60,2016,707498.0
02.916.265/0001-60,2017,1025469.0
02.916.265/0001-60,2018,210116.0
02.916.265/0001-60,2019,6464854.0
02.916.265/0001-60,2020,4654949.0
02.916.265/0001-60,2021,20529653.0
02.916.265/0001-60,2022,16201254.0
